defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/FOODON_00001010	processed meat food product	http://purl.obolibrary.org/obo/FOODON_00001006	meat food product	http://purl.obolibrary.org/obo/FOODON_03311737	processed food product	http://purl.obolibrary.org/obo/FOODON_03420125	skeletal meat part, without bone or shell
http://purl.obolibrary.org/obo/FOODON_00001010	processed meat food product	http://purl.obolibrary.org/obo/FOODON_03311737	processed food product	http://purl.obolibrary.org/obo/FOODON_00001006	meat food product	http://purl.obolibrary.org/obo/FOODON_03420125	skeletal meat part, without bone or shell
