defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/ENVO_01001554	surface layer of a water body	http://purl.obolibrary.org/obo/ENVO_01000281	layer	http://purl.obolibrary.org/obo/ENVO_01001191	water surface	http://purl.obolibrary.org/obo/ENVO_00000063	water body
http://purl.obolibrary.org/obo/ENVO_01001554	surface layer of a water body	http://purl.obolibrary.org/obo/ENVO_01001191	water surface	http://purl.obolibrary.org/obo/ENVO_01000281	layer	http://purl.obolibrary.org/obo/ENVO_00000063	water body
