defined_class	defined_class_label	v0	v0_label
http://sweetontology.net/phenAtmoCloud#MixingCloud	mixing cloud	http://sweetontology.net/phenAtmoCloud#Cloud	cloud
http://sweetontology.net/phenAtmoFog#MixingFog	mixing fog	http://sweetontology.net/phenAtmoFog#Fog	fog
